PctPopUnderPov,PctUnemployed,PolicPerPop,Pcthomeless,PctBSorMore,ViolentCrimesPerPop
0.19,0.27,0.13,0.04,0.48,0.2
0.48,0.37,0.3,0.25,0.47,0.49
0.34,0.59,0.08,0.21,0.24,0.34
0.33,0.3,0.16,0.75,0.28,0.69
0.36,0.33,0.11,0.060000000000000005,0.27,0.63
0.43,0.36,0.19,0.03,0.34,0.31
0.38,0.45,0.17,0.060000000000000005,0.22,0.24
0.43,0.54,0.2,0.04,0.19,0.2
0.31,0.44,0.39,0.13,0.3,0.68
0.16,0.25,0.11,0.04,0.42,0.22
0.3,0.33,0.16,0.26,0.54,0.55
0.4,0.75,0.28,0.01,0.11,0.5
0.18,0.3,0.19,0.03,0.24,0.14
0.75,0.89,0.16,0.01,0.14,0.68
0.57,0.62,0.14,0.18,0.21,0.7
0.19,0.26,0.14,0.03,0.42,0.75
0.28,0.4,0.28,0.16999999999999998,0.34,0.3
0.44,0.54,0.13,0.26,0.25,0.24
0.19,0.49,0.21,0.08,0.31,0.37
0.23,0.45,0.15,0.09,0.3,0.09
0.42,0.61,0.15,0.04,0.29,0.39
0.28,0.37,0.21,0.27,0.24,0.34
0.44,0.42,0.13,0.21000000000000002,0.27,0.28
0.53,0.53,0.15,0.49,0.32,0.4
0.15,0.24,0.13,0.07,0.49,0.2
0.43,0.68,0.17,0.23,0.23,0.86
0.24,0.27,0.17,1.03,0.71,0.68
0.11,0.26,0.18,0.0,0.32,0.08
0.47,0.73,0.17,0.22,0.24,0.53
0.7,0.62,0.25,0.1,0.45,1.0
0.43,0.38,1,0.0,0.18,0.63
0.49,0.5,0.15,0.14,0.27,0.21
0.49,0.47,0.25,0.13,0.38,0.86
0.45,0.75,0.22,0.04,0.21,0.44
0.27,0.27,0.21,0.21000000000000002,0.32,0.48
0.61,0.73,0.17,0.05,0.33,0.23
0.42,0.62,0.18,0.5,0.22,0.73
0.07,0.27,0.16,0.03,0.31,0.17
0.5,0.74,0.41,0.88,0.34,0.83
0.3,0.25,0.07,0.08,0.48,0.36
0.12,0.2,0.14,0.0,0.51,0.12
0.6,0.5,0.06,0.14,0.25,0.41
0.45,0.4,0.09,0.46,0.56,0.16
0.12,0.2,0.12,0.04,0.5,0.26
0.55,0.4,0.2,0.2,0.2,0.36
0.27,0.52,0.2,0.0,0.19,0.19
0.47,0.35,1,0.01,0.66,0.42
0.56,0.62,0.32,0.8300000000000001,0.43,0.88
0.6,0.63,0.08,0.52,0.07,0.54
0.58,0.43,0.25,0.08,0.37,1.0
0.28,0.22,0,0.55,0.45,0.74
0.36,0.41,0.26,0.15000000000000002,0.3,0.63
0.58,0.27,0.19,0.04,0.17,0.93
0.55,0.4,0.31,0.18000000000000002,0.38,0.67
0.48,0.44,0.05,0.06999999999999999,0.39,0.35
0.08,0.28,0.18,0.01,0.33,0.08
0.33,0.38,0.16,0.09,0.23,0.28
0.44,0.41,0.13,0.38,0.37,0.67
0.16,0.19,0.38,0.01,0.77,0.45
0.22,0.35,0.26,0.01,0.25,0.2
0.58,0.77,0.18,0.02,0.14,0.51
0.49,0.74,0.25,0.1,0.14,0.3
0.38,0.64,0.11,0.02,0.22,0.27
0.15,0.32,0.19,0.04,0.26,0.12
0.35,0.32,0.1,0.09,0.26,0.18
0.32,0.28,0.09,1.85,0.62,0.58
0.66,0.62,0.25,0.8500000000000001,0.25,1.0
0.37,0.51,0.2,0.15000000000000002,0.29,0.45
0.51,0.59,0.16,0.13,0.21,0.32
0.51,0.57,0.19,0.1,0.12,0.49
0.42,0.67,0.27,0.14,0.17,0.54
1.0,1.0,0.1,0.03,0.18,0.39
0.59,0.59,0.29,0.42,0.22,0.4
0.48,0.34,0.2,0.01,0.26,0.53
0.58,0.61,0.4,1.56,0.24,1.0
0.26,0.43,0.1,1.03,0.29,0.42
0.45,0.49,0.14,1.3599999999999999,0.37,0.53
0.64,0.59,0.26,0.14,0.33,0.72
0.32,0.67,0.25,0.06,0.17,1.0
0.76,0.55,0.17,0.04,0.26,0.64
0.46,0.53,0.1,0.28,0.33,0.33
0.31,0.39,0.18,0.15,0.21,0.22
0.43,0.38,0.1,0.0,0.35,0.37
0.47,0.39,0.14,0.42000000000000004,0.56,0.25
0.04,0.2,0.19,0.0,0.58,0.05
0.12,0.26,0.19,0.09000000000000001,0.47,0.17
0.6,0.73,0.64,0.79,0.19,1.0
0.29,0.41,0.15,0.02,0.26,0.21
0.55,0.45,0.16,0.51,0.34,0.7
0.33,0.5,0.17,0.04,0.18,0.22
0.21,0.26,0.09,0.21000000000000002,0.43,0.22
0.45,0.36,0.2,0.35000000000000003,0.39,0.46
0.36,0.39,0.02,0.41000000000000003,0.46,0.66
0.5,0.67,0.2,0.18,0.21,0.41
0.48,0.74,0.28,0.16999999999999998,0.15,0.36
0.15,0.29,0.27,0.12,0.57,0.21
0.32,0.35,0.11,0.12,0.36,0.36
0.1,0.21,0.23,0.01,0.61,0.12
0.5,0.55,0.23,2.0,0.36,1.0
0.53,0.54,0.11,0.09,0.27,0.33
0.16,0.36,0.17,0.05,0.33,0.07
0.05,0.14,0.14,0.0,0.67,0.09
0.73,0.74,0.22,0.02,0.28,0.56
0.72,0.7,0.28,0.12,0.21,0.87
0.19,0.29,0.4,0.33,0.61,0.15
0.22,0.45,0.15,0.03,0.33,0.24
0.51,0.6,0.35,2.0,0.36,0.87
0.11,0.08,0.14,0.04,1.0,0.1
0.43,0.35,0.55,0.07,0.18,0.59
0.24,0.32,0.12,0.0,0.21,0.24
0.79,1.0,0.16,0.1,0.12,0.89
0.47,0.74,0.43,0.22999999999999998,0.15,0.85
0.35,0.61,0.23,0.16999999999999998,0.19,0.54
0.13,0.15,0.17,0.0,0.56,0.15
0.22,0.13,0.1,0.1,0.36,0.18
